date,soc_start_kWh,soc_end_kWh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_grid_kWh,emergency_grid_kWh,emergency_intervals,charge_kWh,discharge_kWh,surplus_kWh,solve_time_s
2025-05-01,8550.0,2369.5584,31356.3132663898,13099.94309685149,44456.25636324129,50653.236306,2739.7631956666646,12,12486.927931,15676.809142,5571.5019126666675,0.23394890000054147
2025-05-02,2369.5584,2357.5971,13192.8685190057,21152.631712330694,34345.500231336395,26711.267996000002,4786.425384933334,10,12835.9309436,10407.86925,14779.311603999999,0.13812760000291746
2025-05-03,2357.5971,8550.0,16356.62220744637,9030.562463473814,25387.184670920185,33960.159113300004,1757.9041573666664,14,19750.271178000003,10424.557047000002,17525.17748966667,0.12791800000559306
2025-05-04,8550.0,8550.0,35659.09047593752,8903.904288359994,44562.99476429752,60219.6640596,1870.8328166666654,10,19348.620354799998,15672.382509899999,6679.591698033333,0.14380220000020927
2025-05-05,8550.0,8550.0,35892.5875836866,14263.323180779425,50155.910764466025,60755.978463,3040.195945433332,12,18969.0318261,15364.915816099998,5116.051598433335,0.1397609999985434
2025-05-06,8550.0,8550.0,35707.1918705244,12352.949092765057,48060.14096328946,60060.465606,2714.000991733331,12,19137.9708594,15501.756433999999,6268.169805666668,0.1396085000014864
2025-05-07,8550.0,8550.0,36053.661832054204,11326.793490055821,47380.45532211002,60971.341263,2288.9211303333304,10,19611.159825000002,15885.039499,4466.296117333334,0.1366792999979225
2025-05-08,8550.0,2686.6054,34542.516249691,6286.954686689832,40829.47093638083,55732.42099,1476.6261501666665,12,13698.105560700002,16372.5206205,4056.9497999666683,0.13517729999875883
2025-05-09,2686.6054,2577.9317,14415.62221623,3756.862067653331,18172.484283883332,28201.066369,742.1675269999994,9,12976.92008,10609.111556,18076.039522,0.13968120000208728
2025-05-10,2577.9317,8550.0,17231.7168373653,5610.244762189499,22841.9615995548,34892.957677,1274.8353056666667,10,19683.658708500003,10568.90208,14931.991070833332,0.1303713000015705
2025-05-11,8550.0,8550.0,37387.0274870212,5852.2669361532935,43239.29442317449,62864.179113,1208.0699122666654,15,20464.3447916,16576.119371,4699.944521333335,0.1326273000013316
2025-05-12,8550.0,8550.0,38184.234115194995,4493.047630553328,42677.281745748325,64246.77512,1214.8388533333327,12,20947.861583,16967.767946699998,9550.3251037,0.13596620000316761
2025-05-13,8550.0,8550.0,37871.280992326596,1666.5521249133312,39537.83311723993,63501.589349,362.06825333333313,12,20110.819698,16289.763999,6913.3891366666685,0.16618259999813745
2025-05-14,8550.0,8550.0,38159.74178234801,2337.1756566599943,40496.917439008,64077.179092,519.4046399999987,14,19940.243421,16151.597232400001,7793.788760066667,0.14613809999718796
2025-05-15,8550.0,2267.9397,35649.5336703768,2361.6674765049956,38011.201146881795,57200.815062,603.3698999999991,12,12887.437341,16092.678532,8244.367869666668,0.14532820000022184
2025-05-16,2267.9397,2361.4297,15037.8809559791,1327.804259953331,16365.685215932432,28686.665179000003,355.3605666666662,7,12801.468743,10285.0487225,23810.099191833335,0.14343179999559652
2025-05-17,2361.4297,8550.0,17930.25076101947,4863.300158099997,22793.550919119465,35541.853823900004,1103.5645553333331,11,19537.842119,10255.938892,16914.7160689,0.12551869999879273
2025-05-18,8550.0,8550.0,37765.518159724,3298.0898610333297,41063.60802075733,62666.38904,925.0443366666659,14,18681.351031700004,15131.894395,6365.808639966669,0.13755030000174884
2025-05-19,8550.0,8550.0,37806.076889689,1407.501557435332,39213.57844712433,62910.26944999999,238.50184533333302,8,18740.10346,15179.483851,12072.935136333335,0.14626010000210954
2025-05-20,8550.0,8550.0,37442.1539230548,3756.2745802933314,41198.42850334813,62211.425032,895.808138333333,15,18864.320153,15280.099336,4995.6175366666685,0.15219490000163205
2025-05-21,8550.0,8550.0,37793.420872888186,2632.7648115105003,40426.18568439869,62761.09591420001,707.3197503333333,11,18744.634159,15183.153691,8544.319913200003,0.13785939999797847
2025-05-22,8550.0,1998.9803,35167.2618768632,481.58570558533336,35648.847582448536,55487.081108,113.44866599999982,6,11366.387497,15102.691604000001,8520.203064333338,0.1467629999970086
2025-05-23,1998.9803,2010.2951,15508.9939741065,661.0388015316671,16170.032775638168,28932.373166999998,203.42210000000006,9,12347.781219,9991.519453,20358.584617666667,0.14712669999425998
2025-05-24,2010.2951,8550.0,18798.9724574056,372.2884148966655,19171.260872302268,36530.000572000004,121.68162333333288,8,19646.011459999998,10027.534871,23278.704223,0.12032429999817396
2025-05-25,8550.0,8550.0,38037.16332145973,498.79080732806574,38535.954128787795,62509.97546354999,109.04282326666652,8,18583.296372999997,15052.470107099998,10543.181837583334,0.13517310000315774
2025-05-26,8550.0,8550.0,37557.6310478649,6866.035598884999,44423.6666467499,61719.902451,1842.15237,9,18789.393535000003,15219.4088095,5412.237145500003,0.13170410000020638
2025-05-27,8550.0,8550.0,38306.32035569841,154.1531232049999,38460.473478903405,63006.587358100005,71.40225666666663,7,18700.4466537,15147.361828000001,10134.537489066668,0.12979839999752585
2025-05-28,8550.0,8550.0,37968.6381065175,3411.3906040250645,41380.02871054257,62312.304205,1048.7389265666661,10,18511.6865691,14994.466146800001,7569.998609266668,0.12796450000314508
2025-05-29,8550.0,1998.2183,35226.53098818296,4471.904830528327,39698.43581871129,55294.597435899996,1096.2837956666647,16,11438.3319438,15161.652361000002,6004.07814876667,0.12358189999940805
2025-05-30,1998.2183,2052.5131,15977.5995808021,2315.7717482609996,18293.3713290631,29546.25389,597.5615563333331,8,12517.471531000001,10090.286601,21120.39724966667,0.11961679999512853
2025-05-31,2052.5131,8550.0,19333.9915648416,2857.297202482499,22191.2887673241,37143.933957999994,716.8548006666663,11,19707.711291000003,10115.507976,19879.403893666662,0.12890310000511818
2025-06-01,8550.0,8550.0,39379.17294617981,41771.3757953091,81150.5487414889,64615.5637827,10980.128924999997,6,19439.6205321,15746.0926244,677.3385000000007,0.16179600000032224
2025-06-02,8550.0,8550.0,40557.58341404585,34112.86541187673,74670.44882592258,66922.4930625,8415.520129833329,9,20183.4596951,16348.602382000001,2862.348429233333,0.15380139999615494
2025-06-03,8550.0,8550.0,41694.582307663,19072.04553938269,60766.62784704569,68608.92927,4687.911258299997,15,20840.501349000002,16880.8061227,1144.7784686666675,0.12697750000370434
